,text,favorite_count,retweet_count,created_at
87,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:32:10+00:00
88,"ukraine says fighting continued friday, despite russian ceasefire news ",0,0,2023-01-07 11:32:10+00:00
89,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:32:04+00:00
90,rt @venik44: russia's postal service delivers humanitarian aid from russian civilian volunteer organizations to the residents of energodar…,0,4,2023-01-07 11:32:01+00:00
91,"#apocalypse is not fiction
subtitles - select language - auto-translate


#spain #poland #europe #russia #denmark #france #sweden #greece #switzerland #norway #austria #germany #finland #newzealand #luxembourg #italy #argentina #portugal #bulgaria #slovakia ",0,0,2023-01-07 11:32:00+00:00
92,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:31:58+00:00
93,"rt @euromaidanpress: us to start training ukrainians on patriot missile system later this month, training to take several months

",0,37,2023-01-07 11:31:57+00:00
94,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:31:56+00:00
95,"rt @sstapczynski: data that won’t make putin happy 🇷🇺 👀 

🇩🇪 germany, europe’s largest economy, has actually been able to (briefly) increas…",0,32,2023-01-07 11:31:49+00:00
96,"rt @dimitrilascaris: the grandson of former french president charles de gaulle says the u.s. government is playing an “evil game” and that,…",0,12,2023-01-07 11:31:45+00:00
97,"$1.79 billion to restore ukrainian telecommunications sector to pre-war levels!

  #telecom #ukraine️",0,0,2023-01-07 11:31:42+00:00
98,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:31:31+00:00
99,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:31:29+00:00
100,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:31:14+00:00
101,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:31:12+00:00
102,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:31:11+00:00
103,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:31:02+00:00
104,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:30:57+00:00
105,"it was a new y eave suddenly, himars rockets, satellite-guided precision weapons that the united states has supplied to ukraine, hit the school, almost completely destroying it, and igniting the cache of ammunition.
killing hundreds russians,
",0,0,2023-01-07 11:30:55+00:00
106,rt @drradchenko: another article on atrocious crimes in ukraine under russian occupation: ,0,12,2023-01-07 11:30:37+00:00
107,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:30:18+00:00
108,# how the economy has changed in the year since the taliban retook control 🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕europe can help ukraine by ending russia’s energy stranglehold,0,0,2023-01-07 11:30:12+00:00
109,"rt @heytherehaley: phone records, documents, interviews and thousands of hours of video expose the main russian military unit responsible f…",0,2583,2023-01-07 11:30:09+00:00
