,text,favorite_count,retweet_count,created_at
57,"RT @jel__ade: Note to self:

Statistics = Math

Statistics + RStudio = Data Analytics

Statistics + RStudio+ Model = Machine Learning

Stat…",0,11,2023-01-05 20:31:48+00:00
58,"RT @NASAGoddard: Combining art and science makes a connection with audiences that data alone might not, Mark said. In his viral 2022 ""Clima…",0,16,2023-01-05 20:31:26+00:00
59,@cracken14 @SkyNews Clearly you lack both the education and intelligence to understand basic science….that cute little meme of yours just reinforces that fact..none of those predictions was really part of mainstream climate change science…and even if it was science is always changing based on data https://t.co/WkEkh3BgRV,1,0,2023-01-05 20:31:04+00:00
60,"RT @musclepup4: @SamuelColtXXX Data science with a concentration in epidemiology/biostats. 

Looks like you’re in a similar field with publ…",0,1,2023-01-05 20:30:46+00:00
61,Statistics - A Full University Course on Data Science Basics https://t.co/Ws0brZBEUg via @YouTube,1,0,2023-01-05 20:30:43+00:00
62,"@Odettescuck @KonstantinKisin What do you consider a layman , I find a lot of climate science stats I see to have large holes that prove the theory out but climate scientists just through those data points out as anomalies. As a statician that concerns me and I have both a science and math degree",0,0,2023-01-05 20:29:22+00:00
63,"RT @SanthoshKumarS_: If you want Remote Data Science / Analyst roles that pay in USD,

-- Open this Thread --",0,794,2023-01-05 20:29:21+00:00
64,"Find remote data science, data analysis, data analytics and other related jobs in Africa's top remote job community 👉 https://t.co/RSssDkuEyL 

Banks Brymo Arsenal Nuri Sahin Igbos https://t.co/IoEnrMdIlp",0,0,2023-01-05 20:29:01+00:00
65,"@SamuelColtXXX Data science with a concentration in epidemiology/biostats. 

Looks like you’re in a similar field with public health",1,1,2023-01-05 20:28:51+00:00
66,How data science transforms electrical pulses into actionable usage data https://t.co/CF2YBUqZTC,0,0,2023-01-05 20:28:01+00:00
67,"In more ""signs of the economy slowing down,"" I've noticed a greater % of data science jobs posted right now are consulting gigs. I assume consulting firms are anticipating the rush to hire consultants to plug gaps or tell them how to fix their declining sales.",0,0,2023-01-05 20:27:47+00:00
68,"RT @EricTopol: The hidden humanitarian Covid crisis in China
https://t.co/3ejhlzkLvv @ScienceMagazine 
https://t.co/vUaOtrxJAm @joyuwang 
@…",0,29,2023-01-05 20:27:32+00:00
69,"A Jan 2023 journal article conducted a case study to find that #VeChain is one of the most suitable blockchains to mitigate healthcare data management issues. 

https://t.co/rOUpbglmcS",0,0,2023-01-05 20:27:27+00:00
70,"RT @MRobertsQLD: The ""Science"" (TM) behind the supposed climate crisis simply doesn't stack up. 

When you look underneath the ""experts"" hi…",0,4286,2023-01-05 20:27:24+00:00
71,"RT @EricTopol: The hidden humanitarian Covid crisis in China
https://t.co/3ejhlzkLvv @ScienceMagazine 
https://t.co/vUaOtrxJAm @joyuwang 
@…",0,29,2023-01-05 20:27:01+00:00
72,"@libsoftiktok So funny. The data and science proves she is a damn liar! These kids are absolutely not killing themselves at a higher rate that normal, non weirdos.",0,0,2023-01-05 20:26:58+00:00
